Id,SalePrice
1461,118510
1462,157526
1463,179057
1464,194083
1465,203979
1466,169341
1467,173052
1468,160258
1469,193603
1470,120033
1471,183129
1472,94909
1473,93441
1474,142266
1475,107864
1476,348585
1477,258407
1478,283021
1479,296144
1480,448140
1481,337395
1482,220734
1483,180711
1484,164798
1485,195681
1486,189884
1487,333058
1488,227294
1489,195204
1490,240938
1491,197118
1492,99206
1493,196975
1494,311332
1495,286537
1496,232244
1497,182416
1498,190266
1499,169679
1500,157903
1501,176475
1502,140762
1503,285408
1504,244186
1505,228430
1506,187418
1507,247605
1508,202617
1509,163075
1510,144582
1511,164194
1512,169181
1513,150173
1514,152536
1515,186331
1516,157667
1517,167896
1518,127114
1519,203276
1520,128553
1521,127457
1522,179218
1523,113355
1524,121705
1525,120212
1526,111797
1527,111699
1528,134428
1529,154600
1530,188372
1531,111461
1532,97332
1533,152151
1534,120739
1535,141874
1536,103367
1537,62356
1538,151028
1539,204789
1540,93160
1541,132144
1542,136245
1543,184233
1544,89297
1545,117232
1546,142805
1547,137479
1548,140884
1549,122017
1550,135962
1551,103982
1552,146039
1553,144477
1554,115914
1555,160910
1556,88172
1557,109555
1558,95551
1559,64383
1560,139251
1561,116696
1562,133376
1563,120495
1564,157594
1565,148366
1566,240590
1567,76898
1568,251205
1569,122914
1570,141300
1571,109962
1572,134676
1573,218783
1574,127128
1575,229249
1576,239667
1577,179796
1578,140262
1579,151543
1580,193822
1581,159487
1582,127350
1583,284062
1584,218777
1585,137500
1586,72695
1587,115232
1588,150085
1589,98024
1590,129546
1591,93108
1592,110385
1593,132726
1594,129558
1595,113951
1596,223140
1597,204629
1598,239352
1599,169645
1600,164603
1601,65329
1602,110365
1603,70743
1604,261327
1605,239217
1606,162808
1607,176201
1608,222183
1609,182301
1610,154472
1611,138737
1612,172396
1613,162581
1614,122416
1615,89246
1616,77008
1617,88044
1618,136282
1619,146195
1620,163200
1621,131979
1622,140035
1623,266281
1624,212004
1625,112315
1626,167463
1627,186633
1628,274443
1629,186366
1630,341334
1631,239914
1632,252079
1633,176614
1634,183870
1635,175179
1636,152008
1637,201123
1638,193352
1639,179851
1640,251054
1641,179168
1642,245976
1643,233317
1644,250465
1645,190381
1646,159518
1647,153961
1648,128290
1649,141888
1650,111774
1651,121198
1652,97029
1653,100101
1654,144779
1655,131494
1656,140410
1657,150260
1658,145753
1659,115618
1660,149251
1661,395746
1662,396100
1663,366593
1664,469510
1665,296672
1666,316132
1667,373730
1668,344879
1669,318315
1670,337920
1671,275912
1672,400217
1673,309564
1674,251216
1675,207082
1676,205954
1677,228828
1678,433956
1679,380150
1680,308987
1681,239138
1682,327388
1683,192337
1684,180080
1685,175591
1686,171343
1687,172724
1688,183605
1689,190547
1690,196268
1691,185043
1692,257009
1693,180184
1694,180444
1695,169000
1696,277244
1697,171159
1698,341136
1699,327097
1700,260482
1701,274363
1702,225093
1703,229243
1704,277239
1705,244080
1706,343980
1707,208093
1708,204389
1709,264208
1710,222782
1711,283333
1712,254538
1713,268171
1714,228122
1715,212158
1716,183677
1717,179526
1718,140086
1719,206051
1720,210025
1721,154691
1722,123329
1723,151184
1724,198892
1725,242861
1726,191842
1727,158713
1728,171955
1729,167313
1730,144106
1731,124294
1732,125983
1733,105015
1734,120133
1735,121299
1736,110459
1737,283511
1738,268795
1739,237604
1740,211222
1741,192341
1742,173476
1743,180434
1744,328110
1745,220326
1746,202217
1747,211714
1748,233216
1749,143784
1750,117969
1751,258245
1752,111651
1753,150611
1754,190569
1755,167373
1756,130352
1757,120672
1758,145611
1759,169511
1760,174142
1761,143783
1762,185146
1763,183837
1764,119900
1765,146004
1766,189984
1767,224409
1768,137750
1769,168260
1770,155427
1771,124546
1772,134902
1773,121282
1774,143722
1775,147969
1776,136796
1777,107169
1778,141905
1779,134492
1780,170032
1781,127048
1782,86823
1783,138577
1784,103396
1785,126069
1786,135319
1787,162501
1788,60981
1789,102116
1790,84100
1791,188475
1792,154303
1793,129005
1794,160629
1795,137053
1796,136833
1797,107451
1798,124962
1799,116311
1800,141912
1801,127404
1802,130214
1803,149813
1804,141942
1805,133445
1806,128619
1807,134499
1808,130110
1809,123578
1810,138535
1811,85945
1812,98003
1813,122057
1814,100287
1815,57366
1816,99503
1817,105059
1818,138251
1819,116292
1820,51674
1821,109249
1822,152434
1823,47493
1824,132132
1825,146729
1826,106416
1827,105658
1828,136055
1829,131052
1830,145119
1831,142401
1832,67101
1833,139041
1834,110044
1835,117636
1836,123891
1837,93494
1838,130092
1839,98687
1840,145237
1841,134523
1842,89196
1843,125869
1844,152245
1845,151526
1846,154187
1847,182341
1848,52865
1849,109139
1850,117737
1851,149368
1852,129410
1853,126402
1854,163229
1855,159727
1856,228963
1857,117203
1858,132949
1859,116066
1860,151406
1861,115875
1862,322448
1863,295632
1864,295736
1865,317120
1866,296212
1867,221312
1868,276937
1869,203940
1870,224613
1871,248649
1872,178012
1873,252126
1874,153222
1875,186349
1876,201809
1877,207885
1878,199310
1879,132897
1880,132208
1881,244752
1882,241181
1883,185389
1884,204463
1885,218631
1886,269990
1887,219293
1888,266969
1889,169995
1890,112793
1891,127334
1892,96666
1893,126668
1894,122878
1895,133323
1896,122590
1897,119915
1898,107758
1899,166374
1900,146830
1901,178508
1902,161112
1903,234820
1904,142359
1905,212232
1906,124001
1907,221169
1908,105613
1909,134136
1910,118863
1911,239618
1912,350022
1913,130999
1914,56305
1915,290608
1916,73719
1917,244287
1918,138712
1919,181220
1920,153523
1921,341896
1922,294625
1923,252547
1924,237371
1925,201392
1926,337114
1927,131890
1928,155493
1929,130167
1930,137904
1931,136085
1932,132565
1933,171742
1934,171877
1935,165835
1936,189414
1937,177119
1938,171326
1939,252410
1940,198341
1941,165090
1942,176109
1943,226350
1944,373097
1945,387606
1946,127016
1947,278362
1948,167432
1949,247020
1950,183640
1951,244891
1952,209705
1953,172861
1954,188863
1955,132815
1956,291613
1957,150920
1958,265310
1959,148863
1960,110561
1961,128242
1962,95620
1963,100548
1964,104415
1965,142795
1966,134205
1967,306457
1968,417312
1969,366174
1970,386444
1971,448623
1972,366547
1973,297073
1974,337289
1975,487445
1976,285409
1977,367891
1978,345095
1979,314687
1980,213701
1981,317284
1982,231208
1983,215841
1984,172122
1985,223951
1986,211486
1987,185479
1988,172927
1989,188387
1990,204608
1991,238307
1992,211006
1993,171915
1994,225117
1995,178023
1996,266122
1997,291678
1998,303874
1999,286423
2000,332936
2001,288487
2002,244000
2003,249309
2004,295542
2005,225515
2006,221216
2007,255281
2008,224946
2009,207301
2010,193475
2011,140308
2012,175291
2013,177446
2014,181879
2015,207897
2016,190828
2017,195728
2018,116840
2019,131968
2020,97453
2021,101048
2022,199302
2023,147730
2024,292506
2025,349475
2026,177134
2027,164369
2028,153410
2029,173086
2030,255903
2031,225689
2032,237928
2033,239619
2034,179856
2035,224754
2036,201361
2037,228156
2038,343602
2039,230969
2040,313733
2041,301180
2042,209454
2043,176512
2044,161475
2045,216457
2046,162867
2047,134059
2048,140230
2049,140710
2050,171044
2051,105888
2052,125620
2053,145551
2054,83836
2055,159521
2056,160173
2057,108777
2058,208493
2059,135624
2060,174481
2061,162301
2062,126923
2063,124482
2064,138363
2065,129260
2066,171706
2067,110574
2068,145823
2069,85434
2070,114256
2071,92134
2072,134537
2073,127427
2074,162143
2075,145671
2076,111447
2077,165215
2078,125811
2079,132693
2080,122291
2081,121999
2082,120155
2083,155609
2084,110476
2085,108930
2086,117104
2087,118873
2088,90066
2089,80465
2090,124582
2091,115194
2092,120843
2093,111059
2094,109766
2095,153122
2096,91254
2097,95676
2098,147196
2099,53830
2100,74191
2101,107016
2102,116453
2103,108146
2104,137344
2105,127314
2106,63083
