Id,SalePrice
1461,117044
1462,153408
1463,177959
1464,194197
1465,201154
1466,169273
1467,177072
1468,160700
1469,198960
1470,117676
1471,190274
1472,94267
1473,90347
1474,144310
1475,111197
1476,342946
1477,246839
1478,292257
1479,287447
1480,427283
1481,332635
1482,218984
1483,179470
1484,164045
1485,197020
1486,195760
1487,325271
1488,230755
1489,192067
1490,232958
1491,197993
1492,96058
1493,206054
1494,298706
1495,286205
1496,231961
1497,179881
1498,172096
1499,169446
1500,155206
1501,173218
1502,145032
1503,274307
1504,243601
1505,225758
1506,185081
1507,248929
1508,203693
1509,161668
1510,139375
1511,148952
1512,172553
1513,153214
1514,145983
1515,188885
1516,157526
1517,169716
1518,130362
1519,205815
1520,127135
1521,124703
1522,176678
1523,110422
1524,121318
1525,118077
1526,109329
1527,109803
1528,141462
1529,145039
1530,188549
1531,110550
1532,97573
1533,147352
1534,124761
1535,147605
1536,106288
1537,64762
1538,146135
1539,198948
1540,99020
1541,131719
1542,132936
1543,180683
1544,90061
1545,114414
1546,136563
1547,129633
1548,135482
1549,116755
1550,129238
1551,107679
1552,135645
1553,142011
1554,114046
1555,155906
1556,90794
1557,100465
1558,93726
1559,65430
1560,138542
1561,123934
1562,134207
1563,118734
1564,155103
1565,147582
1566,237788
1567,77380
1568,236889
1569,118990
1570,149606
1571,118847
1572,137897
1573,226259
1574,127146
1575,226492
1576,247725
1577,179099
1578,142536
1579,143480
1580,194203
1581,161374
1582,126291
1583,280567
1584,218297
1585,139212
1586,67566
1587,106739
1588,150557
1589,97426
1590,133119
1591,91102
1592,110383
1593,126466
1594,125152
1595,109227
1596,228569
1597,198826
1598,235518
1599,172078
1600,165731
1601,67486
1602,114955
1603,75645
1604,252536
1605,247519
1606,163892
1607,174511
1608,217400
1609,181154
1610,150110
1611,139056
1612,173612
1613,163901
1614,127585
1615,91582
1616,77571
1617,90297
1618,126795
1619,147527
1620,164487
1621,134599
1622,140793
1623,268956
1624,216411
1625,113174
1626,166035
1627,186124
1628,285731
1629,188203
1630,324229
1631,224942
1632,239128
1633,177720
1634,185089
1635,176620
1636,155863
1637,198672
1638,192835
1639,179091
1640,259031
1641,182014
1642,242610
1643,225864
1644,249119
1645,197872
1646,160019
1647,156031
1648,129534
1649,141682
1650,110368
1651,123092
1652,94876
1653,97919
1654,142931
1655,133932
1656,139652
1657,144079
1658,143381
1659,113668
1660,151968
1661,406107
1662,392085
1663,360868
1664,468788
1665,293761
1666,329191
1667,379764
1668,337723
1669,312125
1670,335863
1671,264519
1672,384516
1673,299159
1674,246669
1675,203238
1676,204164
1677,222619
1678,414577
1679,364819
1680,312480
1681,242469
1682,315998
1683,187809
1684,183603
1685,178731
1686,173072
1687,179984
1688,190488
1689,195622
1690,199109
1691,187672
1692,262539
1693,184451
1694,180831
1695,168747
1696,273991
1697,171373
1698,336145
1699,320442
1700,252744
1701,273955
1702,235235
1703,240963
1704,277685
1705,245952
1706,364877
1707,205778
1708,199863
1709,265110
1710,221270
1711,274008
1712,249043
1713,262213
1714,232844
1715,208956
1716,183478
1717,179972
1718,139050
1719,207951
1720,239216
1721,168469
1722,130181
1723,160154
1724,200705
1725,241220
1726,195650
1727,153625
1728,186378
1729,163176
1730,157880
1731,124773
1732,124691
1733,107975
1734,119162
1735,132132
1736,109991
1737,277686
1738,262400
1739,242023
1740,200985
1741,185272
1742,172962
1743,182819
1744,322628
1745,212862
1746,204862
1747,219559
1748,238593
1749,146082
1750,124255
1751,267004
1752,112590
1753,149643
1754,195913
1755,164254
1756,125054
1757,119729
1758,143324
1759,165720
1760,174163
1761,144794
1762,180050
1763,184825
1764,119241
1765,160067
1766,184595
1767,227439
1768,137367
1769,171687
1770,155796
1771,127618
1772,133095
1773,123601
1774,145284
1775,144884
1776,131639
1777,104900
1778,141870
1779,118243
1780,176586
1781,125843
1782,87476
1783,137454
1784,104234
1785,125823
1786,131760
1787,169621
1788,61474
1789,103980
1790,79177
1791,190065
1792,155086
1793,131796
1794,162355
1795,132436
1796,142280
1797,116685
1798,124484
1799,114485
1800,139984
1801,125075
1802,137565
1803,148422
1804,142766
1805,134741
1806,132318
1807,138489
1808,131006
1809,118333
1810,136102
1811,89950
1812,96314
1813,120964
1814,92443
1815,56698
1816,100336
1817,103046
1818,139148
1819,120875
1820,56172
1821,117947
1822,148544
1823,48376
1824,135289
1825,146217
1826,104749
1827,102083
1828,133585
1829,128887
1830,142720
1831,143349
1832,69919
1833,139057
1834,114184
1835,114890
1836,127832
1837,92441
1838,129275
1839,97960
1840,139825
1841,137954
1842,94056
1843,124907
1844,145869
1845,145766
1846,155968
1847,167706
1848,50544
1849,108875
1850,115486
1851,152863
1852,123982
1853,130512
1854,173152
1855,162994
1856,227450
1857,126446
1858,137521
1859,118437
1860,151860
1861,118128
1862,330280
1863,309461
1864,309559
1865,321184
1866,306416
1867,228374
1868,279082
1869,208036
1870,227750
1871,251898
1872,178846
1873,236682
1874,152831
1875,197870
1876,198985
1877,208648
1878,211307
1879,131762
1880,133414
1881,242400
1882,250123
1883,186259
1884,202568
1885,241307
1886,278291
1887,221922
1888,272392
1889,169051
1890,117821
1891,136518
1892,94503
1893,123348
1894,121291
1895,133892
1896,122563
1897,109237
1898,110406
1899,167258
1900,155592
1901,166117
1902,150179
1903,222497
1904,152621
1905,206032
1906,133615
1907,217750
1908,106090
1909,133487
1910,118747
1911,229046
1912,354067
1913,140529
1914,59933
1915,274046
1916,69922
1917,257270
1918,140531
1919,184233
1920,159566
1921,334120
1922,293956
1923,249872
1924,232879
1925,197788
1926,334570
1927,135161
1928,155246
1929,130245
1930,143310
1931,141615
1932,138027
1933,175798
1934,173683
1935,166977
1936,190403
1937,179627
1938,173369
1939,239475
1940,195810
1941,170928
1942,187508
1943,221331
1944,352703
1945,370864
1946,132760
1947,294651
1948,170530
1949,245583
1950,188263
1951,244271
1952,212320
1953,170797
1954,195133
1955,131166
1956,307733
1957,153230
1958,290438
1959,152564
1960,116124
1961,127291
1962,92276
1963,98247
1964,100368
1965,142410
1966,134422
1967,291010
1968,401391
1969,365700
1970,391093
1971,475208
1972,367783
1973,290112
1974,330051
1975,452132
1976,277536
1977,359475
1978,344660
1979,316962
1980,207882
1981,321162
1982,230014
1983,215797
1984,176654
1985,224182
1986,205330
1987,189581
1988,174644
1989,194100
1990,209339
1991,232488
1992,217290
1993,177222
1994,239336
1995,182012
1996,252524
1997,299714
1998,299808
1999,269816
2000,324148
2001,294058
2002,248709
2003,256332
2004,292288
2005,230506
2006,219825
2007,255976
2008,210719
2009,207425
2010,198761
2011,149486
2012,176170
2013,177049
2014,183713
