Id,SalePrice
1461,110907
1462,148098
1463,177882
1464,165563
1465,189761
1466,183500
1467,174559
1468,169757
1469,185528
1470,130641
1471,208147
1472,88683
1473,93113
1474,153499
1475,149344
1476,400576
1477,247734
1478,306922
1479,274132
1480,462111
1481,328039
1482,209166
1483,185882
1484,172849
1485,180795
1486,211937
1487,340542
1488,223351
1489,207965
1490,187631
1491,198538
1492,96378
1493,186768
1494,295086
1495,280267
1496,224063
1497,196691
1498,147278
1499,149664
1500,158535
1501,169663
1502,164413
1503,277706
1504,230860
1505,218960
1506,163053
1507,188096
1508,188307
1509,161377
1510,150857
1511,141647
1512,172936
1513,159936
1514,134912
1515,174063
1516,177491
1517,149754
1518,127435
1519,217792
1520,132774
1521,142766
1522,158594
1523,129342
1524,122074
1525,123634
1526,130841
1527,110817
1528,119925
1529,138338
1530,158471
1531,129549
1532,87390
1533,134590
1534,123264
1535,138985
1536,112275
1537,88959
1538,157427
1539,216402
1540,114663
1541,136540
1542,139354
1543,234590
1544,88814
1545,88585
1546,121660
1547,139387
1548,109247
1549,107017
1550,140535
1551,111910
1552,149688
1553,127138
1554,118875
1555,160845
1556,96525
1557,91263
1558,95525
1559,103630
1560,131883
1561,123991
1562,131660
1563,129166
1564,152030
1565,163808
1566,245363
1567,82332
1568,198121
1569,137375
1570,131298
1571,122963
1572,143363
1573,234526
1574,112592
1575,202664
1576,204254
1577,209833
1578,140111
1579,140610
1580,188725
1581,137511
1582,135884
1583,341403
1584,243808
1585,141971
1586,65194
1587,121216
1588,142126
1589,102098
1590,132288
1591,106854
1592,108210
1593,125912
1594,142096
1595,126275
1596,210125
1597,161281
1598,178117
1599,173747
1600,180948
1601,76283
1602,93732
1603,94719
1604,277812
1605,248932
1606,167370
1607,161404
1608,221961
1609,200077
1610,168681
1611,154756
1612,169979
1613,169481
1614,102381
1615,82253
1616,77202
1617,86671
1618,127905
1619,138368
1620,135583
1621,145646
1622,151254
1623,277451
1624,197250
1625,118701
1626,178526
1627,185349
1628,285837
1629,181020
1630,290857
1631,191473
1632,219105
1633,177243
1634,181097
1635,177811
1636,153952
1637,185175
1638,227567
1639,182507
1640,248193
1641,188264
1642,228189
1643,212758
1644,218689
1645,186191
1646,159046
1647,144160
1648,142184
1649,144805
1650,120383
1651,121618
1652,88373
1653,95261
1654,151876
1655,151418
1656,149854
1657,150143
1658,151325
1659,149516
1660,146937
1661,428331
1662,354959
1663,346174
1664,433956
1665,320138
1666,298174
1667,339778
1668,326958
1669,304808
1670,332821
1671,263087
1672,375309
1673,290085
1674,251258
1675,184122
1676,191951
1677,222735
1678,468220
1679,369113
1680,323817
1681,265344
1682,287094
1683,188563
1684,170198
1685,176030
1686,167369
1687,169747
1688,191135
1689,192514
1690,182616
1691,174449
1692,274563
1693,181939
1694,185610
1695,176345
1696,276926
1697,173825
1698,336756
1699,337146
1700,243211
1701,268612
1702,248390
1703,234526
1704,287711
1705,212871
1706,390238
1707,226615
1708,208871
1709,286812
1710,234673
1711,266248
1712,265003
1713,247622
1714,218712
1715,204824
1716,180513
1717,169758
1718,108755
1719,205650
1720,238991
1721,167678
1722,101478
1723,153232
1724,213462
1725,245794
1726,190510
1727,175104
1728,191812
1729,170340
1730,178248
1731,135162
1732,134018
1733,116472
1734,134237
1735,124334
1736,116201
1737,328559
1738,221773
1739,275140
1740,186545
1741,166836
1742,163165
1743,173845
1744,305710
1745,258338
1746,264385
1747,244564
1748,211802
1749,156977
1750,148543
1751,252094
1752,114315
1753,142958
1754,213896
1755,176828
1756,124084
1757,116885
1758,147585
1759,158715
1760,148336
1761,160095
1762,184375
1763,159786
1764,119942
1765,161424
1766,164764
1767,195057
1768,135110
1769,181726
1770,140787
1771,137968
1772,150137
1773,138230
1774,125240
1775,132047
1776,125914
1777,114829
1778,122460
1779,121706
1780,177996
1781,123399
1782,114232
1783,133493
1784,107659
1785,111790
1786,160194
1787,178022
1788,71867
1789,99822
1790,89454
1791,185120
1792,151340
1793,131779
1794,136813
1795,137557
1796,139110
1797,112276
1798,128043
1799,112420
1800,136483
1801,135667
1802,156900
1803,151440
1804,141030
1805,136169
1806,103173
1807,139945
1808,140150
1809,132739
1810,141570
1811,107206
1812,113193
1813,115900
1814,98162
1815,57423
1816,111834
1817,120624
1818,139158
1819,119375
1820,81831
1821,114225
1822,143054
1823,57715
1824,129642
1825,142453
1826,108256
1827,108964
1828,134474
1829,106998
1830,131296
1831,185459
1832,114057
1833,124790
1834,141205
1835,173392
1836,115830
1837,89072
1838,122689
1839,91192
1840,165074
1841,146326
1842,86333
1843,145866
1844,143113
1845,151744
1846,149066
1847,154341
1848,61422
1849,135721
1850,127653
1851,140619
1852,123640
1853,135049
1854,174037
1855,161478
1856,204159
1857,164844
1858,138611
1859,121643
1860,148747
1861,121526
1862,266848
1863,260093
1864,260093
1865,326962
1866,335225
1867,237087
1868,292235
1869,191576
1870,255950
1871,238397
1872,172521
1873,223098
1874,149961
1875,201418
1876,187587
1877,208552
1878,199195
1879,128533
1880,138853
1881,230290
1882,270684
1883,208553
1884,214871
1885,259507
1886,286874
1887,201389
1888,266767
1889,170914
1890,128577
1891,146843
1892,105474
1893,126068
1894,125398
1895,141114
1896,121113
1897,121032
1898,130640
1899,137481
1900,157778
1901,152712
1902,122956
1903,232371
1904,132546
1905,164818
1906,166469
1907,200731
1908,118649
1909,127276
1910,119595
1911,188067
1912,263575
1913,136282
1914,57657
1915,358823
1916,75497
1917,256540
1918,131146
1919,162782
1920,172959
1921,399076
1922,346103
1923,202166
1924,224994
1925,225282
1926,384388
1927,146330
1928,158277
1929,116575
1930,144038
1931,132105
1932,142581
1933,171069
1934,171108
1935,178339
1936,186652
1937,195566
1938,168703
1939,207413
1940,185340
1941,179170
1942,199967
1943,191877
1944,317550
1945,359557
1946,167245
1947,332123
1948,172697
1949,242456
1950,176042
1951,246086
1952,244521
1953,167275
1954,214019
1955,124883
1956,262315
1957,165368
1958,283299
1959,129015
1960,114762
1961,132982
1962,84851
1963,97461
1964,108781
1965,149143
1966,158587
1967,292367
1968,340942
1969,370208
1970,383987
1971,432150
1972,352294
1973,273574
1974,312829
1975,473141
1976,270074
1977,339989
1978,372719
1979,341906
1980,197163
1981,344014
1982,249301
1983,234465
1984,160560
1985,204920
1986,203434
1987,174704
1988,180417
1989,191858
1990,224922
1991,222981
1992,210185
1993,178327
1994,236720
1995,185393
1996,256298
1997,341857
1998,342238
1999,243276
2000,325723
2001,311433
2002,250415
2003,252166
2004,285430
2005,220791
2006,215177
2007,233529
2008,217212
2009,195748
2010,189709
2011,118414
2012,178780
2013,178008
2014,186589
2015,193249
2016,195544
2017,207319
2018,131808
2019,137136
2020,113650
2021,120510
2022,173962
2023,152358
2024,201508
2025,350543
2026,177269
2027,160696
2028,149708
2029,170330
2030,269785
2031,235753
2032,257584
2033,278300
2034,164925
2035,219028
2036,179278
2037,180463
2038,315567
2039,198217
2040,381090
2041,319755
2042,211208
2043,160170
2044,157255
2045,207873
2046,134914
2047,142844
2048,132855
2049,136046
2050,167423
2051,120851
2052,136201
2053,148102
2054,80832
2055,157100
2056,146245
2057,126871
2058,215864
2059,114859
2060,153108
2061,164748
2062,137849
2063,118663
2064,130651
2065,98948
2066,186668
2067,141593
2068,126364
2069,80521
2070,112586
2071,95425
2072,152056
2073,138689
2074,184301
