Id,SalePrice
1461,116363
1462,157957
1463,179314
1464,194589
1465,202904
1466,167415
1467,172896
1468,161040
1469,191734
1470,119558
1471,183513
1472,94985
1473,92993
1474,142271
1475,104912
1476,346759
1477,254944
1478,290219
1479,296365
1480,449964
1481,337271
1482,220394
1483,179358
1484,163971
1485,200416
1486,192770
1487,336052
1488,227106
1489,191755
1490,240351
1491,197006
1492,96675
1493,200219
1494,313934
1495,292468
1496,232411
1497,178310
1498,186097
1499,170906
1500,158057
1501,176213
1502,143532
1503,283446
1504,243142
1505,228220
1506,187503
1507,239866
1508,200914
1509,163551
1510,143445
1511,158693
1512,170626
1513,147428
1514,152107
1515,185963
1516,158655
1517,168597
1518,129453
1519,206697
1520,127607
1521,125362
1522,180180
1523,111341
1524,119679
1525,119186
1526,109900
1527,110136
1528,135862
1529,152792
1530,185789
1531,108650
1532,97718
1533,153530
1534,122051
1535,140877
1536,104576
1537,61675
1538,154058
1539,202094
1540,92226
1541,134037
1542,134965
1543,180151
1544,89199
1545,115646
1546,145117
1547,137015
1548,138598
1549,120774
1550,135686
1551,104430
1552,139314
1553,146066
1554,116939
1555,162564
1556,89691
1557,105845
1558,96300
1559,68537
1560,137020
1561,118860
1562,132662
1563,118998
1564,156462
1565,152348
1566,239654
1567,75501
1568,252652
1569,123381
1570,143233
1571,111802
1572,132943
1573,217900
1574,126539
1575,229042
1576,246231
1577,178756
1578,139578
1579,151005
1580,194964
1581,159544
1582,125311
1583,289403
1584,215039
1585,135599
1586,70069
1587,112498
1588,148331
1589,98118
1590,129162
1591,92164
1592,110958
1593,132113
1594,120487
1595,110574
1596,216492
1597,199843
1598,239894
1599,168675
1600,167780
1601,64894
1602,109461
1603,75232
1604,260413
1605,242842
1606,164894
1607,179001
1608,221676
1609,181429
1610,157297
1611,137241
1612,172908
1613,163880
1614,122520
1615,90991
1616,78484
1617,89738
1618,131766
1619,147121
1620,160949
1621,134077
1622,138631
1623,271297
1624,216053
1625,111533
1626,168817
1627,188262
1628,271111
1629,187915
1630,335641
